14x16 Four-Season Room Addition + 8x14 Trex Deck + Concrete Walkway,,,,,,,,,Project Totals,
,,,,,,,,,Labor Cost,"$21,454.62"
Project,"Remove existing ~14x16 PT deck + build new 14x16 FOUR-SEASON ROOM addition (post-and-beam foundation, vaulted metal roof, 7 windows + 3 ext doors, subpanel, mini-split) + attached 8x14 Trex deck (w/ hot-tub support) + concrete walkway. Built on v3 TAKE-OFF STANDARD: Material_Detail is an itemized quantity take-off; unit prices are current 2026 national-avg retail (Trex/concrete/metal-roof/lumber/drywall data gathered Jun 2026), PMs confirm local Tri-Cities supplier pricing before ordering. PERMITS $1,500. DEMO: remove 14x16 PT deck (decking/rail/stairs/framing/posts/accessible footers) + remove existing ext door + dispose. POST & BEAM FOUNDATION: excavate + pour up to 6 12""x12"" min footers + 6x6 post brackets (IRC) + 6x6 PT posts + beams sized per IRC (LVL OMITTED - by CO if final engineering requires) + white metal beam wrap + vinyl soffit under floor framing. STRUCTURE: frame floor/walls/roof + gable roof tied to house where practical + roof sheathing/underlayment/trim/metal roofing + wall sheathing + vinyl lap siding + soffit/fascia/fascia metal + seamless gutters. WINDOWS: 7x 36""x60"" white vinyl insulated ($300 ea allow; cream color to match existing). DOORS: 2x new 36"" ext (deck + ext-stair access) + replace existing house rear door ($500 ea allow). INTERIOR: insulation (walls + roof cavities) + drywall walls/VAULTED ceilings (3-coat, sanded, READY FOR PAINT) + LVP throughout ($3/SF allow) + baseboard + standard prime-ready trim. NOTE: scope delivers drywall ready-for-paint + prime-ready trim with NO painting work item / NO paint allowance - FINISH PAINTING READS AS EXCLUDED (confirm). STAIRS: from room level toward backyard, up to 6 steps total + 4x3 concrete landing. ELECTRICAL: new dedicated SUBPANEL + feeder from main + breakers + grounding/bonding (MC clad wire) serving 1 switch + 4 recessed + 4 outlets + mini-split dedicated circuit/disconnect (+1 ceiling fan per allowance; no count in work items - assume 1, confirm). Main service upgrades excluded unless required after inspection. HVAC: 1 wall-mounted mini-split ($2,500 allow) incl condenser/air handler/lineset/condensate/disconnect/startup. NEW ELEVATED DECK ~8x14: footers + 6x6 brackets/posts + ledger + Trex Enhance decking + Trex white composite rail (open sides) + (1) extra post/footer/bracket for HOT TUB support + (1) extra beam. CONCRETE WALKWAY ~36"" x 48 LF: excavate topsoil + compacted stone base + forms + standard reinforcement + broom finish + control joints (routing field-determined; stamping/coloring/retaining EXCLUDED). FINAL GRADE: seed + straw to immediately disturbed areas. 2 dump trailers (7x14). SCOPE GAP: objective mentions ""block foundation / lower storage area / retaining/stairwell walls"" but detailed work items describe POST-AND-BEAM only - block/retaining/storage-enclosure NOT detailed as work items (EXCLUDED / by CO unless clarified). EXCLUDED: hidden rot/termite/concealed utilities/rock excavation/groundwater/unsuitable soils/code upgrades (by CO), LVLs (by CO), main service upgrade, decorative concrete, finish painting. Cost/burden basis; compare to stated Total Investment $76,300.",,,,,,,,Material Cost,"$29,056.56"
Source Scope,FourSeasonRoom_Addition_Scope.txt,,,,,,,,Equipment Cost,"$1,115.00"
Template Anchor,Basement_Remodel_Breakdown_Locked_Template_v2.xlsx,,,,,,,,Grand Total,"$51,626.18"
Overall Footprint SF,224,,,,,,,,,
Ceiling Height,1,,,,,,,,,
Note,"Use this workbook as a locked template. Populate detail rows only; preserve formulas, tabs, and section order.",,,,,,,,,
,,,,,,,,,Sold for:,"$76,300.00"
Section,Labor Cost,Material Cost,Equipment Cost,Section Total,Labor Hours,,,,COG's,"$51,626.18"
"Permits, GC & PM Coordination",$1427.52,$1785.00,$145.00,$3357.52,34.00,,,,,
Selective Demo (Remove 14x16 PT Deck + Door),$543.20,$157.00,$0.00,$700.20,16.00,,,,Projected GP,"$24,673.83"
Post & Beam Foundation (6 Footers + 6x6 Posts),$1242.40,$1897.04,$570.00,$3709.44,36.00,,,,GP %,32.34%
Floor + Wall Framing (14x16),$1901.20,$1897.37,$0.00,$3798.57,56.00,,,,,
"Roof Framing (Gable, Tie to House) + Sheathing",$1514.00,$1244.18,$0.00,$2758.18,44.00,,,,,
Metal Roofing + Underlayment + Trim/Flashing,$950.60,$1936.60,$0.00,$2887.20,28.00,,,,,
Wall Sheathing + Vinyl Lap Siding + Soffit/Fascia,$1358.00,$1890.50,$0.00,$3248.50,40.00,,,,,
Gutters + Downspouts (New Roof),$339.50,$434.38,$0.00,$773.88,10.00,,,,,
Windows (7) + Exterior Doors (3),$1358.00,$4023.50,$0.00,$5381.50,40.00,,,,,
Insulation (Walls + Vaulted Roof),$814.80,$1405.00,$0.00,$2219.80,24.00,,,,,
"Drywall (~750 SF Vaulted, 3-Coat Ready-for-Paint)",$1765.40,$608.60,$0.00,$2374.00,52.00,,,,,
Interior Trim + LVP Flooring (~224 SF),$1222.20,$1191.15,$0.00,$2413.35,36.00,,,,,
Stairs (Up to 6 Steps) + 4x3 Concrete Landing,$814.80,$536.00,$0.00,$1350.80,24.00,,,,,
Electrical (Subpanel + Devices + Mini-Split Circuit),$1872.00,$2093.13,$0.00,$3965.13,48.00,,,,,
HVAC Mini-Split System,$624.00,$2685.00,$0.00,$3309.00,16.00,,,,,
Elevated Deck 8x14 (Trex + Hot-Tub Support),$1785.60,$4065.24,$0.00,$5850.84,52.00,,,,,
"Concrete Walkway (36"" x 48 LF) + Final Grade",$1222.20,$1111.88,$0.00,$2334.08,36.00,,,,,
Cleanup + Closeout (2 Dump Trailers),$699.20,$95.00,$400.00,$1194.20,20.00,,,,,
Not Applicable,$0.00,$0.00,$0.00,$0.00,0.00,,,,,
Not Applicable,$0.00,$0.00,$0.00,$0.00,0.00,,,,,
Not Applicable,$0.00,$0.00,$0.00,$0.00,0.00,,,,,
Not Applicable,$0.00,$0.00,$0.00,$0.00,0.00,,,,,
Not Applicable,$0.00,$0.00,$0.00,$0.00,0.00,,,,,
